"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2018-09",18.75,18,19.5,0.75,19.05,98.4
"2018-10",18.75,18.01,19.5,0.74,19.06,98.37
"2018-11",18.79,18.05,19.54,0.74,20.25,92.81
"2018-12",18.85,18.11,19.59,0.74,20.18,93.44
"2019-01",18.92,18.19,19.66,0.74,19.22,98.49
"2019-02",19,18.27,19.74,0.73,19.19,99.02
