"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2019-01",20.07,19.31,20.82,0.75,19.22,95.58
"2019-02",19.96,19.21,20.71,0.75,19.19,95.97
"2019-03",19.88,19.13,20.62,0.75,19.23,96.65
