"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2018-02",18.85,18.15,19.54,0.69,18.63,98.83
"2018-03",18.64,17.95,19.33,0.69,18.68,99.75
"2018-04",18.51,17.83,19.2,0.69,18.35,99.08
