"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2017-08",17.77,17.09,18.45,0.68,17.81,99.78
"2017-09",17.76,17.08,18.44,0.68,17.8,99.77
"2017-10",17.81,17.13,18.49,0.68,18.72,95.12
"2017-11",17.89,17.21,18.56,0.68,18.98,94.25
"2017-12",17.96,17.29,18.64,0.67,19.06,94.24
"2018-01",18.03,17.36,18.7,0.67,19,94.9
