"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2017-09",17.86,17.16,18.55,0.7,17.8,99.68
"2017-10",18,17.31,18.7,0.69,18.72,96.15
"2017-11",18.18,17.49,18.87,0.69,18.98,95.78
