"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2017-03",20.25,19.56,20.94,0.69,19.41,95.65
"2017-04",20.38,19.69,21.06,0.68,18.76,91.37
"2017-05",20.58,19.9,21.26,0.68,18.79,90.47
