"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2018-01",18.83,18.14,19.52,0.69,19,99.09
"2018-02",18.92,18.23,19.61,0.69,18.63,98.41
"2018-03",18.98,18.3,19.67,0.69,18.68,98.41
"2018-04",19.14,18.46,19.83,0.68,18.35,95.65
"2018-05",19.31,18.63,19.99,0.68,19.49,99.08
"2018-06",19.48,18.8,20.16,0.68,20.31,95.89
