"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2019-03",19.25,18.48,20.03,0.78,19.23,99.91
"2019-04",19.36,18.59,20.14,0.77,19.02,98.21
"2019-05",19.49,18.72,20.26,0.77,NA,NA
"2019-06",19.61,18.84,20.38,0.77,NA,NA
"2019-07",19.72,18.95,20.49,0.77,NA,NA
"2019-08",19.82,19.06,20.59,0.76,NA,NA
