"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2019-02",18.37,17.6,19.14,0.77,19.19,95.73
"2019-03",18.21,17.44,18.98,0.77,19.23,94.68
"2019-04",18.29,17.52,19.05,0.77,19.02,96.12
"2019-05",18.45,17.69,19.22,0.76,NA,NA
"2019-06",18.64,17.87,19.4,0.76,NA,NA
"2019-07",18.81,18.05,19.57,0.76,NA,NA
