"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2018-07",20.55,19.86,21.24,0.69,19.12,92.51
"2018-08",20.58,19.89,21.26,0.69,18.81,90.6
"2018-09",20.55,19.86,21.23,0.69,19.05,92.17
"2018-10",20.51,19.82,21.19,0.68,19.06,92.44
"2018-11",20.47,19.79,21.15,0.68,20.25,98.93
"2018-12",20.44,19.76,21.12,0.68,20.18,98.71
