"","MAPE","MSE","THEIL","BIAS","LOG.LIK","CONF","R2.ADJ","COMMON.TREND"
"1",100.482271208108,100.482271208108,100.482271208108,100.505099232432,100.420620514666,100.856878160166,100.856878160166,100.869191635084
"2",100.833291657704,100.833291657704,100.833291657704,100.885070897869,100.671216921239,101.413290427424,101.413290427424,101.436075624044
"3",101.574279492278,101.574279492278,101.574279492278,101.648664245146,101.027116113939,102.536332301876,102.536332301876,102.625559790899
"4",101.987670374187,101.987670374187,101.987670374187,102.088376648246,101.377175692786,102.941740517256,102.941740517256,103.171751054267
"5",102.487598431433,102.487598431433,102.487598431433,102.668642243799,101.7530370396,103.129495313901,103.129495313901,103.474214097937
"6",102.87052682729,102.87052682729,102.87052682729,103.127814075083,102.117935574062,103.665425352154,103.665425352154,104.202352994524
