"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2017-09",17.87,17.18,18.56,0.69,17.8,99.61
"2017-10",17.99,17.3,18.68,0.69,18.72,96.07
"2017-11",18.11,17.42,18.79,0.69,18.98,95.41
"2017-12",18.2,17.52,18.89,0.68,19.06,95.49
"2018-01",18.28,17.59,18.96,0.68,19,96.17
"2018-02",18.32,17.64,19,0.68,18.63,98.37
