"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2018-09",18.73,17.99,19.47,0.74,19.05,98.31
"2018-10",18.74,18,19.48,0.74,19.06,98.31
"2018-11",18.8,18.06,19.53,0.74,20.25,92.82
