"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2017-11",19.11,18.41,19.81,0.7,18.98,99.28
"2017-12",19.33,18.63,20.02,0.7,19.06,98.62
"2018-01",19.43,18.73,20.13,0.7,19,97.75
"2018-02",19.49,18.79,20.18,0.69,18.63,95.4
"2018-03",19.5,18.81,20.2,0.69,18.68,95.61
"2018-04",19.5,18.81,20.19,0.69,18.35,93.7
