"","MAPE","MSE","THEIL","BIAS","LOG.LIK","CONF","R2.ADJ","COMMON.TREND"
"1",103.909099119519,103.909099119519,103.909099119519,103.909099119519,104.604805021476,103.909099119519,103.909099119519,103.909099119519
"2",102.765997375192,102.765997375192,102.765997375192,102.765997375192,104.045830274326,102.765997375192,102.765997375192,102.765997375192
"3",102.035389421717,102.035389421717,102.035389421717,102.035389421717,103.463913653935,102.035389421717,102.035389421717,102.035389421717
"4",102.144832119362,102.144832119362,102.144832119362,102.144832119362,103.357213807417,102.144832119362,102.144832119362,102.144832119362
"5",102.595738273527,102.595738273527,102.595738273527,102.595738273527,103.441787255795,102.595738273527,102.595738273527,102.595738273527
"6",103.028838988175,103.028838988175,103.028838988175,103.028838988175,103.610113544953,103.028838988175,103.028838988175,103.028838988175
