"","MAPE","MSE","THEIL","BIAS","LOG.LIK","CONF","R2.ADJ","COMMON.TREND"
"1",102.156849900507,102.156849900507,102.156849900507,102.127846811655,102.156849900507,102.127846811655,102.127846811655,102.127846811655
"2",102.48575665283,102.48575665283,102.48575665283,102.381620096588,102.48575665283,102.381620096588,102.381620096588,102.381620096588
"3",102.741866495135,102.741866495135,102.741866495135,102.533476371244,102.741866495135,102.533476371244,102.533476371244,102.533476371244
"4",103.053534086218,103.053534086218,103.053534086218,102.669759458572,103.053534086218,102.669759458572,102.669759458572,102.669759458572
"5",103.365110385973,103.365110385973,103.365110385973,102.762358484073,103.365110385973,102.762358484073,102.762358484073,102.762358484073
"6",103.681568554313,103.681568554313,103.681568554313,102.842318778108,103.681568554313,102.842318778108,102.842318778108,102.842318778108
