"","MAPE","MSE","THEIL","BIAS","LOG.LIK","CONF","R2.ADJ","COMMON.TREND"
"1",102.897362031982,102.897362031982,102.897362031982,102.897362031982,102.897362031982,102.832327611249,102.897362031982,102.832327611249
"2",103.251381165317,103.251381165317,103.251381165317,103.251381165317,103.251381165317,103.119239580207,103.251381165317,103.119239580207
"3",103.607224257703,103.607224257703,103.607224257703,103.607224257703,103.607224257703,103.406575121533,103.607224257703,103.406575121533
"4",104.031731938439,104.031731938439,104.031731938439,104.031731938439,104.031731938439,103.758742207013,104.031731938439,103.758742207013
"5",104.485306707484,104.485306707484,104.485306707484,104.485306707484,104.485306707484,104.139037241416,104.485306707484,104.139037241416
"6",104.955604446384,104.955604446384,104.955604446384,104.955604446384,104.955604446384,104.535956316743,104.955604446384,104.535956316743
