"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2017-10",17.68,17,18.36,0.68,18.72,94.41
"2017-11",17.71,17.04,18.39,0.67,18.98,93.34
"2017-12",17.75,17.08,18.42,0.67,19.06,93.13
