"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2017-12",19.17,18.48,19.86,0.69,19.06,99.44
"2018-01",19.27,18.58,19.96,0.69,19,98.59
"2018-02",19.35,18.66,20.03,0.69,18.63,96.15
"2018-03",19.39,18.71,20.08,0.68,18.68,96.21
"2018-04",19.33,18.64,20.01,0.68,18.35,94.66
"2018-05",19.32,18.64,20,0.68,19.49,99.15
