"","Pronostico","LimInf","LimSup","SemiLongitudIC","Real","Precision%"
"2017-08",17.83,17.14,18.53,0.69,17.81,99.86
"2017-09",17.96,17.27,18.65,0.69,17.8,99.09
"2017-10",17.94,17.25,18.63,0.69,18.72,95.81
